id,pret,an,relational_semantic_type,Alarcon,source,fr_pattern,sp_pattern,patrons amplifiés,catégorie gramaticaux selon Lef,denotación gramatical variables,original_variables,extended_variables,changes,amp_gram,amp_dicc,alarcon,FALSE,traduction_source,min_elements_number,CQL_query,exemple francais,espagnol traduction,exemple-old,comment,main_element,type_element,first try,query,,
H36,TRUE,,hyp_avec_Utiliser,,1,DET X être utilisé {comme/en tant que/pour} (DET) Y,DET X utilizarse {como/para} (DET) Y,DET X utilizarse {como/para} (DET) Y,,,como/para,,NO,FALSE,FALSE,FALSE,FALSE,,9,,,,,,"CSUBX, PREP",tag,"[spanishpos=""ART""] [spanishpos=""NC|NMON|NMEA|NP""] utilizarse {como|para} ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""V.*|SE""][spanishlemma=""utilizar""][spanishlemma=""como|para""] [spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""]","[spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishpos=""V.*|SE""][spanishlemma=""utilizar|servir|usar|emplear""][spanishlemma=""como|para""] [spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""]",
H37,TRUE,,hyp_avec_Utiliser,,1,Utilisation de (DET) X {comme/en tant que/pour} (DET) Y,Utilización (DET) X {como/para} (DET) Y,Utilizar (DET) X {como/para} (DET) Y,,,como/para,,NO,FALSE,FALSE,FALSE,FALSE,,9,,,,,,"CSUBX, PREP",tag,"Utilizar ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""] {como|para} ([spanishpos=""ART""]) [spanishpos=""NC|NMON|NMEA|NP""]","[spanishlemma=""utilización""][spanishlemma=""de|del""][spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishlemma=""como|para""] [spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""]","[spanishlemma=""utilización|uso""][spanishlemma=""de|del""][spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""][spanishpos!=""NEG|COLON|SEMICOLON|NEG|FS|DOTS|DASH|LP|RP|SLASH|BACKSLASH""]{0,5} [spanishlemma=""como|para""] [spanishpos=""ART""]? [spanishpos=""NC|NMON|NMEA|NP""]",
,,,,Analítico,,,DET Y ser DET X,,,,,,,,,,,,,,,,,,,,,,,
,,,,Analítico,,,X (se){caracterizar} {por/como} Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Analítico,,,X (se){concebir/considerar/describir/definir/entender/conocer} como Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Analítico,,,X (se){denominar/llamar/nombrar} como Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Extensional,,,X {comprender/contener/incluir/integrar} Y,,,,,,,,,,,,,,,,,Je crois que cela ne fonctionne pas dans un relaion d'hyperonyme,,,,,,
,,,,Extensional,,,X {constar} de Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Extensional,,,X {contar} con Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Extensional,,,X {formar/componer/constituir} {por/de} Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Funcional,,,X permitir Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Funcional,,,X encargar de Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Funcional,,,X consistir en Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Funcional,,,X {funcionar/ocupar} {como/para} Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Funcional,,,X {servir/usar/emplear/utilizar} {como/para} Y,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sinonímico,,,X {conocer/denominar/llamar/nombrar} también (como) Y,,,,,,,,,,,,,,,,,Je crois que cela ne fonctionne pas dans un relaion d'hyperonyme,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,34,13,,,,,,,,,,,,,,,,,,
