Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
tinbergen	4	23.63	tinbergen	Nom
especificación técnico activo	4	23.63	especificaciones técnicas activo	Nom Adjectif Adjectif
consumo futuro	4	23.63	consumo futuro	Nom Adjectif
producción neto	4	23.63	producción neta	Nom Adjectif
productor de bien final	4	23.63	productores de bienes finales	Nom Préposition Nom Adjectif
producción en conjunto	4	23.63	producción en conjunto	Nom Préposition Nom
empresa de i+d	4	23.63	empresas de i+d	Nom Préposition Nom
bajistas	4	23.63	bajistas	Adjectif
intervalo grande	4	23.63	intervalo máximo	Nom Adjectif
gasto en consumo	4	23.63	gasto en consumo___gastos en consumo	Nom Préposition Nom
nuestro país	4	23.63	nuestro país	Nom Nom
ine	4	23.63	ine	Nom
productividad marginal neto	4	23.63	productividad marginal neta	Nom Adjectif Adjectif
hipótesis explicativo	4	23.63	hipótesis explicativa___hipótesis explicativas	Nom Adjectif
ocupación en conjunto	4	23.63	ocupación en conjunto	Nom Préposition Nom
demanda global efectivo	4	23.63	demanda global efectiva	Nom Adjectif Adjectif
opción	100	23.42	opción___opciones	Nom
precio oficial	6	23.4	precio oficial	Nom Adjectif
juicio de valor	12	23.35	juicio de valor___juicios de valor	Nom Préposition Nom
bolsa de valor	7	23.33	bolsa de valores___bolsas de valores	Nom Préposition Nom
descendente	14	23.31	descendente	Adjectif
mano de obra	43	23.12	mano de obra	Nom Préposition Nom
empresario	67	23.06	empresario___empresarios	Nom
intuitiva	5	22.92	intuitiva	Adjectif
mecanismo cambiario	5	22.92	mecanismo cambiario	Nom Adjectif
precio industrial	5	22.92	precios industriales	Nom Adjectif
cuenta de tesorería	5	22.92	cuentas de tesorería	Nom Préposition Nom
ingreso mediano	5	22.92	ingreso mediano	Nom Adjectif
simulación	11	22.69	simulación	Nom
obra	92	22.62	obra___obras	Nom
época	61	22.37	época___épocas	Nom
desinversión	6	22.29	desinversión	Nom
sector informal	6	22.29	sector informal	Nom Adjectif
restricción presupuestario	15	22.27	restricción presupuestaria___restricciones presupuestarias	Nom Adjectif
festivo	14	21.98	festivo	Adjectif
tipo	258	21.96	tipo___tipos	Nom
período de negociación	8	21.9	período de negociación	Nom Préposition Nom
liquidez	20	21.86	liquidez	Nom
crediticia	9	21.84	crediticia	Adjectif
descuento	15	21.81	descuento___descuentos	Nom
período del año	7	21.78	período del año	Nom Préposition Nom
término	159	21.71	término___términos	Nom
efectivo	98	21.69	efectivo___efectivos___efectivas	Adjectif
expectativa	60	21.6	expectativa___expectativas	Nom
tender	51	21.57	tender___tenderá___tendía___tendieron	Verbe
alza de precio	5	21.41	alza de precios	Nom Préposition Nom
capital fijo	5	21.41	capital fijo	Nom Adjectif
frugalidad	5	21.41	frugalidad	Nom
activo	106	21.32	activo___activa	Adjectif
parámetro	36	21.23	parámetro___parámetros	Nom
eficiencia	56	21.11	eficiencia	Nom
condición de introducción	4	21.1	condiciones de introducción	Nom Préposition Nom
consecuencia del ejercicio	4	21.1	consecuencia del ejercicio	Nom Préposition Nom
coste de investigación	4	21.1	costes de investigación	Nom Préposition Nom
pernoctaciones	4	21.1	pernoctaciones	Nom
producción correspondiente	4	21.1	producción correspondiente	Nom Adjectif
déficit fiscal	4	21.1	déficit fiscal___déficit fiscales	Nom Adjectif
ocupación total	4	21.1	ocupación total	Nom Adjectif
ritmo de expansión	4	21.1	ritmo de expansión	Nom Préposition Nom
restará	4	21.1	restará	Verbe
teoremas	4	21.1	teoremas	Nom
teoría cuantitativa	4	21.1	teoría cuantitativa	Nom Adjectif
índice general	4	21.1	índice general	Nom Adjectif
factor objetivo	4	21.1	factores objetivos	Nom Adjectif
cláusula opcional	4	21.1	cláusula opcional	Nom Adjectif
literatura económico	4	21.1	literatura económica	Nom Adjectif
clase de inversión	4	21.1	clase de inversión___clase de inversiones___clases de inversiones	Nom Préposition Nom
tipo americano	4	21.1	tipo americano	Nom Adjectif
mes anterior	9	21.05	mes anterior___meses anteriores	Nom Adjectif
utilidad	56	21.01	utilidad___utilidades	Nom
horario	28	21.01	horario	Nom
caja	38	21	caja___cajas	Nom
consumo privado	9	20.68	consumo privado	Nom Adjectif
alquiler	14	20.54	alquiler___alquileres	Nom
cambio	210	20.51	cambio___cambios	Nom
desbordamiento	7	20.5	desbordamiento	Nom
reposición	7	20.5	reposición	Nom
reserva financiero	7	20.5	reserva financiera___reservas financieras	Nom Adjectif
feudal	6	20.46	feudal	Adjectif
costo del transporte	6	20.46	costo del transporte___costos del transporte	Nom Préposition Nom
capital inicial	8	20.44	capital inicial___capital iniciales	Nom Adjectif
estadístico	49	20.34	estadístico___estadísticos___estadísticas	Adjectif
media	34	20.29	media	Nom
economía cerrado	5	20.16	economía cerrada	Nom Adjectif
producto financiero	11	20.08	productos financieros	Nom Adjectif
manufactura	8	20.01	manufacturas	Nom
tónico	10	19.94	tónica	Adjectif
cátedra	7	19.94	cátedra	Nom
profesor	48	19.7	profesor___profesores	Nom
través del tiempo	6	19.7	través del tiempo	Nom Préposition Nom
cálculo	46	19.7	cálculo___cálculos	Nom
séptimo	11	19.66	séptimo	Nom
febrero	61	19.59	febrero	Nom
capital en giro	3	19.48	capital en giro	Nom Préposition Nom
opinión medio	3	19.48	opinión media	Nom Adjectif
integración escaso y lento	3	19.48	integración escasa y lenta	Nom Adjectif Coord_Conjunction Adjectif
día de vencimiento	3	19.48	día de vencimiento	Nom Préposition Nom
esquema cultural	3	19.48	esquema cultural	Nom Adjectif
valuación	3	19.48	valuación	Nom
orden de sustracción	3	19.48	orden de sustracción	Nom Préposition Nom
precio de cierre especial	3	19.48	precio de cierre especial	Nom Préposition Nom Adjectif
unidad adicional	3	19.48	unidad adicional	Nom Adjectif
capital líquido	3	19.48	capital líquido	Nom Adjectif
país de producción primario	3	19.48	países de producción primaria	Nom Préposition Nom Adjectif
existencia de artículo	3	19.48	existencia de artículos___existencias de artículos	Nom Préposition Nom
fiamm	3	19.48	fiamm	Nom
dígito decimal	3	19.48	dígitos decimales	Nom Adjectif
teoría del equilibrio	3	19.48	teoría del equilibrio	Nom Préposition Nom
modelo de solow	3	19.48	modelo de solow	Nom Préposition Nom
mercado interbancario	3	19.48	mercado interbancario	Nom Adjectif
letra del tesoro	3	19.48	letras del tesoro	Nom Préposition Nom
maximizan	3	19.48	maximizan	Nom
decena de febrero	3	19.48	decena de febrero	Nom Préposition Nom
elasticidades	3	19.48	elasticidades	Nom
derivamos	3	19.48	derivamos	Verbe
ritmo de integración económico	3	19.48	ritmo de integración económica	Nom Préposition Nom Adjectif
valor de rendimiento variable	3	19.48	valores de rendimiento variable	Nom Préposition Nom Adjectif
horario de cierre	3	19.48	horario de cierre	Nom Préposition Nom
índice de base	3	19.48	índice de base	Nom Préposition Nom
confeccionará	3	19.48	confeccionará	Verbe
italian	3	19.48	italian	Verbe
matif	3	19.48	matif	Nom
expectativa matemático	3	19.48	expectativa matemática	Nom Adjectif
tipo de referencia	3	19.48	tipo de referencia___tipos de referencia	Nom Préposition Nom
límite de fluctuación grande	3	19.48	límites de fluctuación máxima	Nom Préposition Nom Adjectif
sesión de meff renta	3	19.48	sesión de meff renta	Nom Préposition Nom Adjectif
german	3	19.48	german	Verbe
economista profesional	3	19.48	economistas profesionales	Nom Adjectif
cantidad físico	3	19.48	cantidad física	Nom Adjectif
razón de calendario	3	19.48	razones de calendario	Nom Préposition Nom
medias	3	19.48	medias	Nom
importación bien	3	19.48	importación bienes___importaciones bienes	Nom Nom
equipo de capital	3	19.48	equipo de capital	Nom Préposition Nom
diferencia en precio	3	19.48	diferencia en precio	Nom Préposition Nom
progreso técnico neutral	3	19.48	progreso técnico neutral	Nom Adjectif Adjectif
teoría del dinero	3	19.48	teoría del dinero	Nom Préposition Nom
categoría de integración	3	19.48	categorías de integración	Nom Préposition Nom
porcentaje de variación anual	3	19.48	porcentaje de variación anual	Nom Préposition Nom Adjectif
hora español	3	19.48	hora española	Nom Nom
bolsa español	3	19.48	bolsa española	Nom Nom
medida en unidad	3	19.48	medida en unidades	Nom Préposition Nom
cantidad de capital humano	3	19.48	cantidad de capital humano___cantidades de capital humano	Nom Préposition Nom Adjectif
teoría del comportamiento	3	19.48	teoría del comportamiento	Nom Préposition Nom
proposición	19	19.48	proposición___proposiciones	Nom
expectativa de descenso	3	19.48	expectativas de descenso___expectativas de descensos	Nom Préposition Nom
precio mencionado	3	19.48	precios mencionado	Nom Adjectif
unidad estructural	3	19.48	unidad estructural___unidades estructurales	Nom Adjectif
obligation notionnelle	3	19.48	obligation notionnelle	Nom Adjectif
canal de información público	3	19.48	canales de información pública	Nom Préposition Nom Adjectif
sraffa	3	19.48	sraffa	Nom
factor subjetivo	3	19.48	factores subjetivos	Nom Adjectif
fija posterior	3	19.48	fija posterior	Nom Adjectif
fabianos	3	19.48	fabianos	Nom
nuestras	3	19.48	nuestras	Adjectif
tasa de interés real	3	19.48	tasas de interés real	Nom Préposition Nom Adjectif
pérdida de capital	3	19.48	pérdida de capital___pérdidas de capital	Nom Préposition Nom
vencimiento pertinente	3	19.48	vencimiento pertinente	Nom Adjectif
definición de inversión	3	19.48	definición de inversión	Nom Préposition Nom
incorporación del progreso técnico	3	19.48	incorporación del progreso técnico	Nom Préposition Nom Adjectif
fija siguiente	3	19.48	fija siguiente	Nom Adjectif
françoise	3	19.48	françoise	Nom
resto de edad	3	19.48	resto de edades	Nom Préposition Nom
phelps	3	19.48	phelps	Nom
nuestro análisis	3	19.48	nuestro análisis	Nom Nom
sesión de vivo	3	19.48	sesión de viva	Nom Préposition Nom
ausencia de externalidades	3	19.48	ausencia de externalidades	Nom Préposition Nom
multiplicada	3	19.48	multiplicada	Verbe
función homogéneo	3	19.48	función homogénea	Nom Adjectif
futuro bono	3	19.48	futuro bono	Nom Nom
tinbergen	3	19.48	tinbergen	Verbe
inversionista profesional	3	19.48	inversionista profesional___inversionistas profesionales	Nom Adjectif
nivel pequeño histórico	3	19.48	nivel mínimo histórico___niveles mínimos históricos	Nom Adjectif Adjectif
sistema walrasiano	3	19.48	sistema walrasiano	Nom Adjectif
planificador central	3	19.48	planificador central	Nom Adjectif
tasa de acumulación	3	19.48	tasa de acumulación	Nom Préposition Nom
licitación oficial	3	19.48	licitación oficial	Nom Adjectif
formación neto	3	19.48	formación neta	Nom Adjectif
teoría fundamental	3	19.48	teoría fundamental	Nom Adjectif
transición dinámico	3	19.48	transición dinámica	Nom Adjectif
von	3	19.48	von	Verbe
monto del consumo	3	19.48	monto del consumo	Nom Préposition Nom
bono alemán	3	19.48	bonos alemanes	Nom Adjectif
curva de preferencia	3	19.48	curva de preferencia	Nom Préposition Nom
ocupación existente	3	19.48	ocupación existente	Nom Adjectif
volumen de demanda efectivo	3	19.48	volumen de demanda efectiva	Nom Préposition Nom Adjectif
profesor von	3	19.48	profesor von	Nom Nom
desaceleró	3	19.48	desaceleró	Verbe
proporción constante	3	19.48	proporción constante	Nom Adjectif
elasticidad de sustitución	3	19.48	elasticidad de sustitución	Nom Préposition Nom
especificación reglamentario correspondiente	3	19.48	especificaciones reglamentarias correspondientes	Nom Adjectif Adjectif
existencia excedente	3	19.48	existencias excedentes	Nom Adjectif
tipo oficial	3	19.48	tipo oficial___tipos oficiales	Nom Adjectif
vencimiento del contrato	3	19.48	vencimiento del contrato	Nom Préposition Nom
per cápita	3	19.48	per cápita	Nom Nom
estado del crédito	3	19.48	estado del crédito	Nom Préposition Nom
economista inglés	3	19.48	economistas ingleses	Nom Adjectif
remuneración relativo	3	19.48	remuneración relativa	Nom Adjectif
ricardiana	3	19.48	ricardiana	Adjectif
afluencia de inversión extranjero	3	19.48	afluencia de inversión extranjera	Nom Préposition Nom Adjectif
utilidad sujeto	3	19.48	utilidad sujeto___utilidad sujeta	Nom Adjectif
déficit de caja	3	19.48	déficit de caja	Nom Préposition Nom
saldo vivo	3	19.48	saldo vivo	Nom Adjectif
rendimiento privado	3	19.48	rendimiento privado___rendimiento privada	Nom Adjectif
nómina de salario	3	19.48	nómina de salario___nómina de salarios___nóminas de salarios	Nom Préposition Nom
profesión económico	3	19.48	profesión económica	Nom Adjectif
tasa de inversión extranjero	3	19.48	tasas de inversión extranjera	Nom Préposition Nom Adjectif
áfrica	3	19.48	áfrica	Nom
utilidad del salario	3	19.48	utilidad del salario	Nom Préposition Nom
curva de eficiencia marginal	3	19.48	curva de eficiencia marginal___curvas de eficiencia marginal	Nom Préposition Nom Adjectif
función de felicidad	3	19.48	función de felicidad___funciones de felicidad	Nom Préposition Nom
billete verde	3	19.48	billete verde	Nom Adjectif
rentista	3	19.48	rentista	Adjectif
cantidad en peseta	3	19.48	cantidad en pesetas	Nom Préposition Nom
costo de trabajo	3	19.48	costo de trabajo___costos de trabajo	Nom Préposition Nom
bono del tesoro	3	19.48	bonos del tesoro	Nom Préposition Nom
cantidad de ocupación	3	19.48	cantidad de ocupación___cantidades de ocupación	Nom Préposition Nom
central de divisa	3	19.48	centrales de divisas	Nom Préposition Nom
ahorro total	3	19.48	ahorro total	Nom Adjectif
agente individual	3	19.48	agentes individuales	Nom Adjectif
volumen de contratación	3	19.48	volumen de contratación___volúmenes de contratación	Nom Préposition Nom
optimismo espontáneo	3	19.48	optimismo espontáneo	Nom Adjectif
salario corriente	3	19.48	salario corriente	Nom Adjectif
value	3	19.48	value	Nom
intergeneracionales	3	19.48	intergeneracionales	Adjectif
principales	3	19.48	principales	Nom
individuo ignorante	3	19.48	individuo ignorante___individuos ignorantes	Nom Adjectif
tipo cobb-douglas	3	19.48	tipo cobb-douglas	Nom Nom
capital humano medio	3	19.48	capital humano medio	Nom Adjectif Adjectif
producción de capital humano	3	19.48	producción de capital humano	Nom Préposition Nom Adjectif
nuestro	3	19.48	nuestro	Verbe
económetras	3	19.48	económetras	Adjectif
adición neto	3	19.48	adición neta	Nom Adjectif
base convencional	3	19.48	bases convencionales	Nom Adjectif
depreció	3	19.48	depreció	Verbe
diferencial parcial	3	19.48	diferenciales parciales	Nom Adjectif
teoría del monopolio	3	19.48	teoría del monopolio___teorías del monopolio	Nom Préposition Nom
tendenciosidad ideológico	3	19.48	tendenciosidad ideológica	Nom Adjectif
nivel de precio	11	19.45	nivel de precio___nivel de precios___niveles de precios	Nom Préposition Nom
subproducto	7	19.42	subproducto	Nom
cfr	4	19.23	cfr	Nom
teoría general	4	19.23	teoría general	Nom Adjectif
nivel de capital	4	19.23	nivel de capital___niveles de capital	Nom Préposition Nom
término de dinero	4	19.23	términos de dinero	Nom Préposition Nom
sistema cerrado	8	19.23	sistema cerrado	Nom Adjectif
grupo de trabajador	8	19.23	grupo de trabajadores___grupos de trabajadores	Nom Préposition Nom
modificable	4	19.23	modificable	Adjectif
fraile	5	19.1	frailes	Nom
tipo de modelo	5	19.1	tipo de modelos	Nom Préposition Nom
ingreso global	5	19.1	ingreso global	Nom Adjectif
feudales	6	19.01	feudales	Adjectif
ventaja social	6	19.01	ventaja social___ventajas sociales	Nom Adjectif
naturaleza humano	7	18.94	naturaleza humana	Nom Adjectif
ritmo	50	18.93	ritmo	Nom
liberalismo	21	18.92	liberalismo	Nom
subyacente	27	18.68	subyacente	Adjectif
saldo	20	18.65	saldo___saldos	Nom
interés	253	18.57	interés___intereses	Nom
diferencial	7	18.48	diferencial___diferenciales	Nom
intervalo	15	18.47	intervalo___intervalos	Nom
leve	6	18.39	levemente	Adverbe
government	6	18.39	government	Nom
cuenta corriente	6	18.39	cuenta corriente___cuentas corrientes	Nom Adjectif
mensual	20	18.26	mensual___mensuales	Adjectif
coste marginal	8	18.2	coste marginal___costes marginales	Nom Adjectif
trabajo disponible	5	18.19	trabajo disponible___trabajo disponibles	Nom Adjectif
crédito bancario	7	18.06	crédito bancario	Nom Adjectif
desgaste	7	18.06	desgaste	Nom
ciclo	36	17.98	ciclo___ciclos	Nom
matemático	12	17.92	matemático___matemática___matemáticas	Adjectif
empresa individual	6	17.82	empresa individual___empresas individuales	Nom Adjectif
respectivamente	23	17.81	respectivamente	Adverbe
yen	4	17.78	yenes	Nom
demanda total	4	17.78	demanda total	Nom Adjectif
diferencia de remuneración	4	17.78	diferencia de remuneración___diferencias de remuneración	Nom Préposition Nom
demanda exterior	4	17.78	demanda exterior	Nom Adjectif
valor del producto	4	17.78	valor del producto	Nom Préposition Nom
periodo largo	4	17.78	periodo largo___periodos largos	Nom Adjectif
orientación de mercado	4	17.78	orientación de mercado	Nom Préposition Nom
depender	94	17.7	depender___dependerá___dependa	Verbe
año anterior	27	17.67	año anterior___años anteriores	Nom Adjectif
variable	21	17.6	variable___variables	Adjectif
fondo de inversión	11	17.54	fondos de inversión	Nom Préposition Nom
doctrina	23	17.51	doctrina___doctrinas	Nom
contemporáneo	16	17.49	contemporáneo___contemporáneos___contemporáneas	Adjectif
ingreso nacional	5	17.4	ingreso nacional	Nom Adjectif
economía en transición	5	17.4	economías en transición	Nom Préposition Nom
tendencia	66	17.32	tendencia___tendencias	Nom
siguiente	136	17.31	siguiente___siguientes	Adjectif
tesorería	7	17.3	tesorería	Nom
contracción	6	17.3	contracción	Nom
volumen de inversión	6	17.3	volumen de inversión	Nom Préposition Nom
análisis	93	17.28	análisis	Nom
expiración	16	17.27	expiración	Nom
equipo	63	17.24	equipo___equipos	Nom
bruto	32	17.23	bruto___bruta___brutas	Adjectif
determinar	76	17.21	determinar___determinará___determinó	Verbe
dinero	134	17.11	dinero	Nom
probabilidad	23	17.07	probabilidad___probabilidades	Nom
influencia	61	17.03	influencia	Nom
tasa de paro	10	17.02	tasa de paro	Nom Préposition Nom
caja de ahorro	7	16.95	caja de ahorros___cajas de ahorros	Nom Préposition Nom
cambio frente	3	16.84	cambio frente	Nom Nom
interés proteccionista	3	16.84	intereses proteccionistas	Nom Adjectif
burgués	3	16.84	burgueses	Nom
iguale	3	16.84	iguale	Verbe
imperfectamente	3	16.84	imperfectamente	Adverbe
plus	3	16.84	plus	Nom
capital total	3	16.84	capital total	Nom Adjectif
etnología	3	16.84	etnología	Nom
ed	3	16.84	ed	Adjectif
ascendentes	3	16.84	ascendentes	Adjectif
atesoramiento	3	16.84	atesoramiento	Nom
economista clásico	3	16.84	economista clásico___economistas clásicos	Nom Adjectif
análisis causal	3	16.84	análisis causal	Nom Adjectif
bien intermedio	3	16.84	bienes intermedios	Nom Adjectif
flujo de caja	3	16.84	flujos de caja	Nom Préposition Nom
tasa efectivo	3	16.84	tasa efectiva	Nom Adjectif
rentistas	3	16.84	rentistas	Nom
aumento del capital	4	16.61	aumento del capital	Nom Préposition Nom
consumo público	4	16.61	consumo público	Nom Adjectif
bien industrial	4	16.61	bienes industriales	Nom Adjectif
calculará	4	16.61	calculará	Verbe
rival	4	16.61	rival	Adjectif
bajista	4	16.61	bajista	Adjectif
año precedente	8	16.54	año precedente___años precedentes	Nom Adjectif
fijo	33	16.49	fijo___fijos___fijas	Adjectif
durable	10	16.39	durable___durables	Adjectif
literatura	15	16.37	literatura	Nom
igual	128	16.36	igual___iguales	Adjectif
cotización	25	16.36	cotización___cotizaciones	Nom
numérico	13	16.34	numérico___numérica	Adjectif
bajo	81	16.3	bajo___bajos___bajas	Adjectif
historia económico	5	16.07	historia económica	Nom Adjectif
burguesía	5	16.07	burguesía	Nom
interbancarios	6	15.97	interbancarios	Adjectif
bajar	26	15.92	bajar___bajará___bajó	Verbe
cliente	36	15.89	cliente___clientes	Nom
medio	60	15.88	medio___media___medias	Adjectif
tesoro	10	15.81	tesoro	Nom
expansión	27	15.64	expansión	Nom
producción final	4	15.63	producción final	Nom Adjectif
introducción de nueva	4	15.63	introducción de nuevas	Nom Préposition Nom
obsolescencia	4	15.63	obsolescencia	Nom
cifra estadístico	4	15.63	cifras estadísticas	Nom Adjectif
comportamiento	48	15.59	comportamiento___comportamientos	Nom
superior	60	15.51	superior___superiores	Adjectif
método estadístico	5	15.5	método estadístico___métodos estadísticos	Nom Adjectif
diviso	5	15.5	divisa___divisas	Adjectif
crecimiento superior	5	15.5	crecimiento superior	Nom Adjectif
producción total	7	15.45	producción total	Nom Adjectif
subastar	20	15.42	subastas	Verbe
argumentación	16	15.35	argumentación	Nom
ahorrar	29	15.29	ahorrar___ahorra___ahorrarse	Verbe
nivel	224	15.26	nivel___niveles	Nom
postular	8	15.25	postular___postula___postulamos	Verbe
reescribir	6	15.23	reescribir	Verbe
sector educativo	6	15.23	sector educativo	Nom Adjectif
condición general	10	15.17	condiciones generales	Nom Adjectif
historiador	10	15.05	historiador___historiadores	Nom
vestuario	3	15.03	vestuario	Nom
volumen real	3	15.03	volumen real	Nom Adjectif
costo de almacenamiento	3	15.03	costos de almacenamiento	Nom Préposition Nom
escuela de pensamiento	3	15.03	escuela de pensamiento	Nom Préposition Nom
término de unidad	3	15.03	términos de unidades	Nom Préposition Nom
volumen de capital	3	15.03	volumen de capital	Nom Préposition Nom
ahorro individual	3	15.03	ahorro individual	Nom Adjectif
cifró	3	15.03	cifró	Verbe
demanda de dinero	3	15.03	demanda de dinero	Nom Préposition Nom
concursante	3	15.03	concursante___concursantes	Nom
revaluaciones	3	15.03	revaluaciones	Nom
número de individuo	3	15.03	número de individuos	Nom Préposition Nom
firma individual	3	15.03	firma individual	Nom Adjectif
número de unidad	3	15.03	número de unidades	Nom Préposition Nom
país de ingreso mediano	3	15.03	países de ingreso mediano	Nom Préposition Nom Adjectif
diferencial de precio	3	15.03	diferencial de precios	Nom Préposition Nom
racionalizaciones	3	15.03	racionalizaciones	Nom
marxistas	3	15.03	marxistas	Adjectif
propensión marginal	3	15.03	propensión marginal	Nom Adjectif
vivo voz	3	15.03	viva voz	Nom Nom
ritmo de reducción	3	15.03	ritmo de reducción	Nom Préposition Nom
inputs	3	15.03	inputs	Nom
sector de bien	3	15.03	sector de bienes	Nom Préposition Nom
trayectoria	18	15.02	trayectoria___trayectorias	Nom
variar	25	14.86	variar___variará___varían___variaban	Verbe
total	95	14.82	total___totales	Adjectif
analíticas	4	14.81	analíticas	Adjectif
generalizaciones	4	14.81	generalizaciones	Nom
bien público	9	14.74	bien público___bienes públicos	Nom Adjectif
expresará	7	14.72	expresará	Verbe
nivel existente	5	14.53	nivel existente	Nom Adjectif
decimal	5	14.53	decimales	Adjectif
trabajador	127	14.5	trabajador___trabajadora___trabajadores	Nom
ligar	7	14.49	ligar___liga	Verbe
comprar	51	14.37	comprar___compras___compre___comprarlas	Verbe
economista teórico	2	14.31	economista teórico	Nom Adjectif
aumento de riqueza	2	14.31	aumento de riqueza	Nom Préposition Nom
teoría moderno	2	14.31	teoría moderna	Nom Adjectif
cupón anual postpagable	2	14.31	cupón anual postpagable	Nom Adjectif Adjectif
ahorro bruto	2	14.31	ahorro bruto	Nom Adjectif
índice de venta	2	14.31	índice de ventas___índices de ventas	Nom Préposition Nom
denotamos	2	14.31	denotamos	Verbe
tabla dólar	2	14.31	tabla dólar	Nom Adjectif
gestora de fondo	2	14.31	gestora de fondos	Nom Préposition Nom
propiedad neoclásico	2	14.31	propiedades neoclásicas	Nom Adjectif
valor del producto final	2	14.31	valor del producto final	Nom Préposition Nom Adjectif
consumo de cemento	2	14.31	consumo de cemento	Nom Préposition Nom
órganon	2	14.31	órganon	Nom
característica psicológico	2	14.31	características psicológicas	Nom Adjectif
ciclo intergeneracionales	2	14.31	ciclos intergeneracionales	Nom Adjectif
crecimiento interanual	2	14.31	crecimiento interanual	Nom Adjectif
precio del alquiler	2	14.31	precio del alquiler	Nom Préposition Nom
individuo maximizan	2	14.31	individuos maximizan	Nom Nom
ingreso marginal	2	14.31	ingreso marginal	Nom Adjectif
sentido ascendente	2	14.31	sentido ascendente	Nom Adjectif
tasa de variación anual	2	14.31	tasa de variación anual	Nom Préposition Nom Adjectif
endogeneización	2	14.31	endogeneización	Nom
cosa humano	2	14.31	cosas humanas	Nom Adjectif
auges	2	14.31	auges	Nom
posición abierto vendedor	2	14.31	posiciones abiertas vendedoras	Nom Adjectif Adjectif
constructor mutualistas	2	14.31	constructoras mutualistas	Nom Adjectif
carrera académico	2	14.31	carrera académica	Nom Adjectif
año	2	14.31	año	Verbe
servicio emergencia	2	14.31	servicio emergencia	Nom Nom
clase de teoremas económico	2	14.31	clase de teoremas económicos	Nom Préposition Nom Adjectif
sir	2	14.31	sir	Nom
medias mensual	2	14.31	medias mensuales	Nom Adjectif
consumo agregado	2	14.31	consumo agregado	Nom Nom
tamaño del estado	2	14.31	tamaño del estado	Nom Préposition Nom
sociedad constructor	2	14.31	sociedades constructoras	Nom Nom
tasa de expansión	2	14.31	tasa de expansión___tasas de expansión	Nom Préposition Nom
consumo correspondiente	2	14.31	consumo correspondiente	Nom Adjectif
suyos	2	14.31	suyos	Nom
inversión útil	2	14.31	inversiones útiles	Nom Adjectif
rendimiento futuro	2	14.31	rendimiento futuro	Nom Adjectif
mediana del crecimiento	2	14.31	mediana del crecimiento	Nom Préposition Nom
multiplicador dinámico	2	14.31	multiplicador dinámico	Nom Adjectif
liberalización del sistema financiero	2	14.31	liberalización del sistema financiero	Nom Préposition Nom Adjectif
adjudicación correspondiente	2	14.31	adjudicaciones correspondientes	Nom Adjectif
arancel medio	2	14.31	arancel medio	Nom Adjectif
hecho físico	2	14.31	hecho físico	Nom Adjectif
equipo productor existente	2	14.31	equipo productor existente	Nom Adjectif Adjectif
central bilateral	2	14.31	central bilateral___centrales bilaterales	Nom Adjectif
consideración de espacio	2	14.31	consideraciones de espacio	Nom Préposition Nom
problema de optimización	2	14.31	problema de optimización	Nom Préposition Nom
dato de inflación	2	14.31	dato de inflación	Nom Préposition Nom
nivel de salario nominal	2	14.31	nivel de salarios nominales	Nom Préposition Nom Adjectif
summa theologica	2	14.31	summa theologica	Nom Adjectif
elección de política	2	14.31	elección de políticas	Nom Préposition Nom
esquema dinámico	2	14.31	esquema dinámico	Nom Adjectif
crecimiento neoclásico	2	14.31	crecimiento neoclásico	Nom Adjectif
contingente del acuerdo multifibras	2	14.31	contingentes del acuerdo multifibras	Nom Préposition Nom Adjectif
continuidad del alza	2	14.31	continuidad del alza	Nom Préposition Nom
suya	2	14.31	suya	Verbe
cláusula de inclusión	2	14.31	cláusula de inclusión___cláusulas de inclusión	Nom Préposition Nom
anulaciones de petición	2	14.31	anulaciones de peticiones	Nom Préposition Nom
baja violento	2	14.31	baja violenta	Nom Adjectif
función de utilidad sujeto	2	14.31	función de utilidad sujeto___función de utilidad sujeta	Nom Préposition Nom Adjectif
sacrificio genuino	2	14.31	sacrificio genuino	Nom Adjectif
problema de maximización	2	14.31	problema de maximización	Nom Préposition Nom
concesión administrativo	2	14.31	concesión administrativa	Nom Adjectif
clase de desocupación	2	14.31	clase de desocupación___clases de desocupación	Nom Préposition Nom
constante del capital	2	14.31	constantes del capital	Nom Préposition Nom
part	2	14.31	part	Nom
fase descendente	2	14.31	fase descendente	Nom Adjectif
crecimiento del pib	2	14.31	crecimiento del pib	Nom Préposition Nom
tasa de remuneración	2	14.31	tasa de remuneración	Nom Préposition Nom
tasa de interés bajo	2	14.31	tasa de interés baja	Nom Préposition Nom Adjectif
atesoramiento de dinero	2	14.31	atesoramiento de dinero	Nom Préposition Nom
agrícol	2	14.31	agrícol	Nom
pib regional	2	14.31	pib regional	Nom Adjectif
inversión corriente	2	14.31	inversión corriente	Nom Nom
reprint	2	14.31	reprint	Nom
partido marxistas	2	14.31	partidos marxistas	Nom Adjectif
análisis secuencial	2	14.31	análisis secuencial	Nom Adjectif
estado de confianza	2	14.31	estado de confianza	Nom Préposition Nom
recuperación del consumo privado	2	14.31	recuperación del consumo privado	Nom Préposition Nom Adjectif
expectativa de incremento	2	14.31	expectativa de incremento___expectativas de incremento	Nom Préposition Nom
alza discontinuo	2	14.31	alza discontinua	Nom Adjectif
valoración del mercado	2	14.31	valoración del mercado___valoraciones del mercado	Nom Préposition Nom
