Candidat de regroupement	Fréquence	Spécificité	Variantes orthographiques	Matrice
exógeno	9	38.28	exógeno	Adjectif
unidad	142	37.91	unidad___unidades	Nom
décima	14	37.89	décimas	Nom
hábil	33	37.59	hábil___hábiles	Adjectif
constante	42	37.38	constantes	Nom
interanual	10	37.01	interanual	Adjectif
individuo	87	36.67	individuo___individuos	Nom
elasticidad	18	36.66	elasticidad	Nom
paribus	9	36.29	paribus	Nom
efecto de escala	9	36.29	efecto de escala___efectos de escala	Nom Préposition Nom
sobreinversión	9	36.29	sobreinversión	Nom
ofertar	114	36.02	ofertas	Verbe
ciclo económico	24	35.98	ciclo económico___ciclos económicos	Nom Adjectif
variación	38	35.95	variación___variaciones	Nom
análisis económico	20	35.86	análisis económico	Nom Adjectif
burgués	13	35.86	burgués___burgueses	Adjectif
baja	38	35.85	baja	Nom
alguien	8	35.82	alguien	Adverbe
porcentaje de variación	8	35.82	porcentaje de variación___porcentajes de variación	Nom Préposition Nom
costo primo marginal	8	35.82	costo primo marginal___costos primos marginales	Nom Adjectif Adjectif
contrato de opción	8	35.82	contrato de opción	Nom Préposition Nom
serie existente	8	35.82	series existentes	Nom Adjectif
negociadas	8	35.82	negociadas	Adjectif
inversión corriente	8	35.82	inversión corriente___inversiones corrientes	Nom Adjectif
curva de demanda	8	35.82	curva de demanda___curvas de demanda	Nom Préposition Nom
clasificación crediticia	8	35.82	clasificación crediticia	Nom Adjectif
ecuación dinámico	8	35.82	ecuación dinámica___ecuaciones dinámicas	Nom Adjectif
precio implícito	8	35.82	precio implícito___precios implícitos	Nom Adjectif
condición de ocupación pleno	8	35.82	condiciones de ocupación plena	Nom Préposition Nom Adjectif
inversión bruto	8	35.82	inversión bruta	Nom Adjectif
per	8	35.82	per	Adjectif
jean-paul	8	35.82	jean-paul	Nom
valor entregables	8	35.82	valores entregables	Nom Nom
cierre del futuro	8	35.82	cierre del futuro	Nom Préposition Nom
notas	8	35.82	notas	Adjectif
modelo de crecimiento endógeno	8	35.82	modelo de crecimiento endógeno___modelos de crecimiento endógeno	Nom Préposition Nom Adjectif
externalidades	14	35.6	externalidades	Nom
teoría económico	15	35.57	teoría económica	Nom Adjectif
condición excepcional	12	35.53	condiciones excepcionales	Nom Adjectif
clase	116	35.1	clase___clases	Nom
coincidente	9	34.58	coincidente	Nom
modelo	191	34.52	modelo___modelos	Nom
cantidad	179	34.47	cantidad___cantidades	Nom
capítulo	122	34.32	capítulo___capítulos	Nom
valor positivo	11	34.3	valor positivo	Nom Adjectif
tasa de ahorro	10	34.22	tasa de ahorro	Nom Préposition Nom
faltara	10	34.22	faltara	Verbe
inversionista	18	33.81	inversionista___inversionistas	Nom
ceteris paribus	8	33.75	ceteris paribus	Nom Nom
constante	81	33.64	constante	Adjectif
teórico	45	33.63	teórico___teórica___teóricas	Adjectif
productividad	65	33.22	productividad	Nom
forma de liquidación	7	33.19	forma de liquidación	Nom Préposition Nom
rendimiento marginal	7	33.19	rendimiento marginal___rendimientos marginales	Nom Adjectif
miércoles del mes	7	33.19	miércoles del mes	Nom Préposition Nom
unidad de costo	7	33.19	unidad de costos	Nom Préposition Nom
condición de ocupación	7	33.19	condiciones de ocupación	Nom Préposition Nom
actividad de i+d	7	33.19	actividades de i+d	Nom Préposition Nom
contrato de futuros	7	33.19	contrato de futuros	Nom Préposition Nom
interés de depósito interbancario	7	33.19	interés de depósito interbancario	Nom Préposition Nom Adjectif
miles	7	33.19	miles	Nom
thunen	7	33.19	thunen	Nom
producción cobb-douglas	7	33.19	producción cobb-douglas	Nom Nom
país de integración	7	33.19	países de integración	Nom Préposition Nom
consumo presente	7	33.19	consumo presente	Nom Adjectif
dividendo nacional	7	33.19	dividendo nacional	Nom Adjectif
tabla notas	7	33.19	tabla notas	Nom Adjectif
bien durable	7	33.19	bienes durables	Nom Adjectif
trimestre	28	33.16	trimestre___trimestres	Nom
aumento	197	33.11	aumento___aumentos	Nom
sociología	12	32.97	sociología	Nom
cartera	40	32.92	cartera	Nom
clásico	60	32.91	clásico___clásicos___clásicas	Adjectif
empírico	16	32.83	empírico___empírica	Adjectif
procedimiento de análisis	11	32.41	procedimiento de análisis	Nom Préposition Nom
índice	68	32.31	índice___índices	Nom
fecha de expiración	13	32.3	fecha de expiración	Nom Préposition Nom
décima de punto	8	31.99	décimas de punto	Nom Préposition Nom
obligación del estado	10	31.98	obligaciones del estado	Nom Préposition Nom
depresión	21	31.97	depresión___depresiones	Nom
descenso	51	31.81	descenso___descensos	Nom
gráfico	12	31.53	gráfico	Nom
renta	86	31.32	renta___rentas	Nom
agregado	21	31.1	agregado___agregados	Nom
inversión nuevo	7	31.02	inversión nueva___inversiones nuevas	Nom Adjectif
semana de febrero	7	31.02	semana de febrero	Nom Préposition Nom
capítulo siguiente	7	31.02	capítulo siguiente___capítulos siguientes	Nom Adjectif
escuela clásico	7	31.02	escuela clásica	Nom Adjectif
exógena	7	31.02	exógena	Adjectif
pág	10	31	pág	Nom
real	184	30.83	real___reales	Adjectif
nivel de ocupación	11	30.8	nivel de ocupación	Nom Préposition Nom
economía	251	30.77	economía___economías	Nom
tasa de inversión	9	30.59	tasa de inversión___tasas de inversión	Nom Préposition Nom
tipo de capital	8	30.48	tipo de capital___tipos de capital	Nom Préposition Nom
producto interior bruto	6	30.33	producto interior bruto	Nom Adjectif Adjectif
thunen	6	30.33	thunen	Adverbe
ed	6	30.33	ed	Nom
maximizan	6	30.33	maximizan	Verbe
estado de ocupación	6	30.33	estado de ocupación	Nom Préposition Nom
factor de conversión	6	30.33	factor de conversión	Nom Préposition Nom
hipótesis de convergencia	6	30.33	hipótesis de convergencia	Nom Préposition Nom
escuela histórico	6	30.33	escuela histórica___escuelas históricas	Nom Adjectif
fuentes	6	30.33	fuentes	Adjectif
petty	6	30.33	petty	Nom
tecnología ak	6	30.33	tecnología ak	Nom Nom
negociación del contrato	6	30.33	negociación del contrato	Nom Préposition Nom
